SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,927 Lewis Ave,Rockville,MD,20851,339700,2,1.0,Rockcrest,1008,6250,1940,5,337,,Active,,,http://www.redfin.com/MD/Rockville/927-Lewis-Ave-20851/home/10513330,MRIS,MC10208972,N,Y,39.0761413,-77.1359553
MLS Listing,,Condo/Co-op,10600 Weymouth St #201,Bethesda,MD,20814,235000,1,1.0,Parkside Codm,780,,1964,5,301,344,Active,April-22-2018 01:00 PM,April-22-2018 04:00 PM,http://www.redfin.com/MD/Bethesda/10600-Weymouth-St-20814/unit-201/home/10535906,MRIS,MC10206327,N,Y,39.0285873,-77.0951621
MLS Listing,,Condo/Co-op,2302 Colston Dr Unit C-202,Silver Spring,MD,20910,289000,2,1.0,Rock Creek Apts Codm 1,733,,1948,5,394,535,Active,,,http://www.redfin.com/MD/Silver-Spring/2302-Colston-Dr-20910/unit-C-202/home/145336550,MRIS,MC10211748,N,Y,38.994176,-77.0486652
MLS Listing,,Condo/Co-op,730 24th St NW #309,Washington,DC,20037,265000,1,1.0,Foggy Bottom,730,,1961,5,363,662,Active,April-22-2018 12:00 PM,April-22-2018 02:00 PM,http://www.redfin.com/DC/Washington/730-24th-St-NW-20037/unit-309/home/21998591,MRIS,DC10211754,N,Y,38.8989336,-77.0517241
MLS Listing,,Condo/Co-op,1111 University Blvd W Unit 804-A,Silver Spring,MD,20902,129000,2,2.0,University Towers Codm,1107,,1967,5,117,733,Active,,,http://www.redfin.com/MD/Silver-Spring/1111-University-Blvd-W-20902/unit-804A/home/11117123,MRIS,MC10211648,N,Y,39.0376297,-77.027814
MLS Listing,,Townhouse,10251 Green Holly Ter,Silver Spring,MD,20902,399000,3,3.5,Forest Estates,1360,2323,1984,5,293,81,Active,,,http://www.redfin.com/MD/Silver-Spring/10251-Green-Holly-Ter-20902/home/11113505,MRIS,MC10211429,N,Y,39.022839,-77.039955
MLS Listing,,Condo/Co-op,1718 P St NW #912,Washington,DC,20036,285000,1,1.0,Dupont,495,,1968,5,576,508,Active,,,http://www.redfin.com/DC/Washington/1718-P-St-NW-20036/unit-912/home/9862827,MRIS,DC10198868,N,Y,38.9094166,-77.0393103
MLS Listing,,Condo/Co-op,2811 Arlington Blvd Unit 101B,Arlington,VA,22201,305000,2,1.0,Cambridge Courts,781,,1944,5,391,376,Active,April-22-2018 01:00 PM,April-22-2018 03:00 PM,http://www.redfin.com/VA/Arlington/2811-Arlington-Blvd-22201/unit-101B/home/11255868,MRIS,AR10211380,N,Y,38.8743176,-77.0889908
MLS Listing,,Condo/Co-op,11801 Rockville Pike Ph 03,Rockville,MD,20852,274900,2,2.0,The Forum,1154,,1968,5,238,825,Active,,,http://www.redfin.com/MD/North-Bethesda/11801-Rockville-Pike-20852/unit-03/home/10523444,MRIS,MC10211086,N,Y,39.0511034,-77.1131149
MLS Listing,,Townhouse,2829 S Abingdon St Unit A,Arlington,VA,22206,390000,2,1.0,Fairlington Vil,982,,1944,6,397,327,Active,,,http://www.redfin.com/VA/Arlington/2829-S-Abingdon-St-22206/unit-A/home/11267588,MRIS,AR10211070,N,Y,38.8419709,-77.1004127
